Date,Open,High,Low,Close,Adj Close,Volume
2017-04-19,13.950000,14.000000,13.850000,13.850000,11.123858,6265000
2017-04-20,13.900000,14.000000,13.850000,13.900000,11.164016,3774000
2017-04-21,14.000000,14.000000,13.900000,13.900000,11.164016,2851000
2017-04-24,14.050000,14.200000,13.900000,13.900000,11.164016,3520000
2017-04-25,13.950000,14.150000,13.950000,14.150000,11.364807,4945000
2017-04-26,14.250000,14.500000,14.150000,14.450000,11.605757,7465000
2017-04-27,14.450000,14.450000,14.250000,14.250000,11.445124,3404000
2017-04-28,14.350000,14.450000,14.250000,14.250000,11.445124,3815000
2017-05-02,14.500000,14.650000,14.400000,14.500000,11.645917,11172000
2017-05-03,14.500000,14.600000,14.500000,14.550000,11.686074,3784000
2017-05-04,14.500000,14.550000,14.450000,14.500000,11.645917,2627000
2017-05-05,14.500000,14.600000,14.450000,14.550000,11.686074,5553000
2017-05-08,14.600000,14.650000,14.550000,14.600000,11.726233,4594000
2017-05-09,14.600000,14.700000,14.400000,14.400000,11.565599,7435000
2017-05-10,14.400000,14.550000,14.350000,14.550000,11.686074,5299000
2017-05-11,14.550000,14.600000,14.500000,14.600000,11.726233,4594000
2017-05-12,14.600000,15.050000,14.550000,14.950000,12.007339,22758000
2017-05-15,15.050000,15.100000,14.850000,14.950000,12.007339,7460000
2017-05-16,15.000000,15.150000,14.850000,14.900000,11.967183,11853000
2017-05-17,14.900000,15.100000,14.900000,15.100000,12.127816,11794000
2017-05-18,14.950000,15.700000,14.900000,15.600000,12.529399,38250000
2017-05-19,15.700000,16.100000,15.700000,15.950000,12.810507,38949000
2017-05-22,16.049999,16.200001,15.900000,16.150000,12.971141,19300000
2017-05-23,16.000000,16.200001,16.000000,16.150000,12.971141,13950000
2017-05-24,16.150000,16.200001,16.000000,16.100000,12.930983,9755000
2017-05-25,16.100000,16.200001,16.000000,16.150000,12.971141,12312000
2017-05-26,16.200001,17.100000,16.200001,16.799999,13.493198,40281000
2017-05-31,16.950001,17.000000,16.350000,16.500000,13.252248,24225000
2017-06-01,16.650000,16.700001,16.250000,16.350000,13.131775,16073000
2017-06-02,16.400000,16.600000,16.299999,16.400000,13.171932,10582000
2017-06-03,null,null,null,null,null,null
2017-06-05,16.350000,16.549999,16.299999,16.400000,13.171932,11414000
2017-06-06,16.350000,16.600000,16.350000,16.450001,13.212091,7680000
